127.0.0.1 - - [30/Jun/2021:21:47:23 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:24 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:24 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:24 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:25 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:25 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:26 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:26 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:26 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:26 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:26 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:47:32 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
