127.0.0.1 - - [10/Aug/2021:18:40:15 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:16 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:16 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:16 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:16 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:16 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:17 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:17 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:17 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:17 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:40:17 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:09 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:09 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:09 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:09 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:10 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:10 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [10/Aug/2021:18:46:10 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:40:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/brand/ HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:40:21 -0300] "GET /ProjetoTrilhaWeb/js/brand.js HTTP/1.1" 200 5723
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:40:23 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:40:23 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:40:23 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
